Remaining decisions,Money accumulated,Last outcome was positive,Last outcome was negative,Money accumulated > Loan,Money accumulated < Loan,Current decision,Cards chosen from deck (A),Positive last outcome (A),Negative last outcome (A),Positive cards (A),Negative cards (A),Frequency of positive cards (A),Frequency of negative cards (A),Best outcome (A),Worst outcome (A),decisions without choosing (A),Won money (A),Lost money (A),Cards chosen from deck (B),Positive last outcome (B),Negative last outcome (B),Positive cards (B),Negative cards (B),Frequency of positive cards (B),Frequency of negative cards (B),Best outcome (B),Worst outcome (B),decisions without choosing (B),Won money (B),Lost money (B),Cards chosen from deck (C),Positive last outcome (C),Negative last outcome (C),Positive cards (C),Negative cards (C),Frequency of positive cards (C),Frequency of negative cards (C),Best outcome (C),Worst outcome (C),decisions without choosing (C),Won money (C),Lost money (C),Cards chosen from deck (D),Positive last outcome (D),Negative last outcome (D),Positive cards (D),Negative cards (D),Frequency of positive cards (D),Frequency of negative cards (D),Best outcome (D),Worst outcome (D),decisions without choosing (D),Won money (D),Lost money (D),Selected deck,Time
58,1300,True,False,True,False,42,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,39,300,150,2,False,True,1,1,0.5,0.5,100,-1150,37,200,1250,11,True,False,11,0,1.0,0.0,50,0,17,550,150,26,True,False,24,2,0.9230769230769231,0.07692307692307693,50,-200,0,1300,500,D,194.0
57,1350,True,False,True,False,43,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,40,300,150,2,False,True,1,1,0.5,0.5,100,-1150,38,200,1250,11,True,False,11,0,1.0,0.0,50,0,18,550,150,27,True,False,25,2,0.9259259259259259,0.07407407407407407,50,-200,0,1350,500,D,94.0
56,1400,True,False,True,False,44,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,41,300,150,2,False,True,1,1,0.5,0.5,100,-1150,39,200,1250,11,True,False,11,0,1.0,0.0,50,0,19,550,150,28,True,False,26,2,0.9285714285714286,0.07142857142857142,50,-200,0,1400,500,D,179.0
55,1450,True,False,True,False,45,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,42,300,150,2,False,True,1,1,0.5,0.5,100,-1150,40,200,1250,11,True,False,11,0,1.0,0.0,50,0,20,550,150,29,True,False,27,2,0.9310344827586207,0.06896551724137931,50,-200,0,1450,500,D,95.0
54,1500,True,False,True,False,46,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,43,300,150,2,False,True,1,1,0.5,0.5,100,-1150,41,200,1250,11,True,False,11,0,1.0,0.0,50,0,21,550,150,30,True,False,28,2,0.9333333333333333,0.06666666666666667,50,-200,0,1500,500,D,187.0
53,1300,False,True,True,False,47,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,44,300,150,2,False,True,1,1,0.5,0.5,100,-1150,42,200,1250,11,True,False,11,0,1.0,0.0,50,0,22,550,150,31,False,True,28,3,0.9032258064516129,0.0967741935483871,50,-200,0,1550,750,D,86.0
52,1350,True,False,True,False,48,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,45,300,150,2,False,True,1,1,0.5,0.5,100,-1150,43,200,1250,11,True,False,11,0,1.0,0.0,50,0,23,550,150,32,True,False,29,3,0.90625,0.09375,50,-200,0,1600,750,D,179.0
51,1400,True,False,True,False,49,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,46,300,150,2,False,True,1,1,0.5,0.5,100,-1150,44,200,1250,11,True,False,11,0,1.0,0.0,50,0,24,550,150,33,True,False,30,3,0.9090909090909091,0.09090909090909091,50,-200,0,1650,750,D,81.0
50,1200,False,True,True,False,50,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,47,300,150,2,False,True,1,1,0.5,0.5,100,-1150,45,200,1250,11,True,False,11,0,1.0,0.0,50,0,25,550,150,34,False,True,30,4,0.8823529411764706,0.11764705882352941,50,-200,0,1700,1000,D,193.0
49,1250,True,False,True,False,51,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,48,300,150,2,False,True,1,1,0.5,0.5,100,-1150,46,200,1250,11,True,False,11,0,1.0,0.0,50,0,26,550,150,35,True,False,31,4,0.8857142857142857,0.11428571428571428,50,-200,0,1750,1000,D,94.0
